exp_id,page_id,fix_seq_id,row_idx,article_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,fixation_duration_mean,number_of_fixations_mean,reading_times_mean,fixation_duration_var,number_of_fixations_var,reading_times_var,fixation_duration_div_syllable,fixation_duration_div_length,backward_times_of_sentence,forward_times_of_sentence,horizontal_saccade_proportion,saccade_duration,saccade_times_of_sentence,saccade_velocity,total_dwell_time_of_sentence,backward_times_of_sentence_div_log,forward_times_of_sentence_div_log,horizontal_saccade_proportion_div_log,saccade_duration_div_log,saccade_times_of_sentence_div_log,saccade_velocity_div_log,total_dwell_time_of_sentence_div_log,backward_times_of_sentence_div_syllable,forward_times_of_sentence_div_syllable,horizontal_saccade_proportion_div_syllable,saccade_duration_div_syllable,saccade_times_of_sentence_div_syllable,saccade_velocity_div_syllable,total_dwell_time_of_sentence_div_syllable
902,1588,0,0,39,qxy,0,Senior,1,1,1,0,0,0,0,0,0,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,Iranian,1,1,1,1,1,215,215,1,1,238.707,0.738,0.608,111917.249,0.878,0.489,71.667,30.714,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,figures,1,1,1,0,0,0,-215,-1,-1,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,have,1,1,1,1,2,818,818,2,1,238.707,0.738,0.608,111917.249,0.878,0.489,818.0,204.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,expressed,1,1,1,1,1,292,-526,-1,0,238.707,0.738,0.608,111917.249,0.878,0.489,146.0,32.444,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,concern,1,1,1,1,1,211,-81,0,0,238.707,0.738,0.608,111917.249,0.878,0.489,105.5,30.143,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,over,1,1,1,0,0,0,-211,-1,-1,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,the,1,1,1,0,0,0,0,0,0,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,death,1,1,1,2,3,832,832,3,2,238.707,0.738,0.608,111917.249,0.878,0.489,832.0,166.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,in,1,1,1,0,0,0,-832,-3,-2,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,custody,0,1,1,2,3,821,821,3,2,238.707,0.738,0.608,111917.249,0.878,0.489,410.5,117.286,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,last,1,1,1,1,1,217,-604,-2,-1,238.707,0.738,0.608,111917.249,0.878,0.489,217.0,54.25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,week,1,1,1,0,0,0,-217,-1,-1,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,of,1,1,1,0,0,0,0,0,0,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,1588,0,0,39,qxy,0,a,1,1,1,0,0,0,0,0,0,238.707,0.738,0.608,111917.249,0.878,0.489,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
