fn_page_id,fn_word
1861,vibrations
1861,meteoroids
2675,assumptions
2675,inspection
2677,sameness
2681,authority
2752,Progressives
2780,alternative
1590,cable
1686,nominated
1692,grimly
1819,inhabit
1862,clashes
1862,clashes
1929,debating
1950,deployed
2045,unreduced
2650,syntactically
2667,inquiry
2672,inevitably
2672,characterize
2673,validity
2673,validity
2673,dimensions
2673,singular
2673,singular
2673,assumption
2686,affairs
2686,affairs
2714,recreations
2714,realistic
2723,currencies
2723,currencies
2725,conservatives
2725,eliminated
2726,upheld
2726,deregulating
2726,deregulating
2726,deregulating
2726,preempt
2739,metaphysical
2748,inequality
2749,tropical
2766,affairs
