,words,understand?(Y/N),understand before experiment?(Y/N)
0,tell,,
1,schedule,,
2,new,,
3,a,,
4,relationship,,
5,there's,,
6,Humans,,
7,inevitably,,
8,average,,
9,failings,,
10,whether,,
11,leads,,
12,graze,,
13,improve,,
14,their,,
15,or,,
16,has,,
17,sensors,,
18,tendency,,
19,scientists,,
20,Yet,,
21,genes,,
22,them,,
23,minimal,,
24,making,,
25,advances,,
26,mobile,,
27,work:,,
28,debate:,,
29,problems,,
30,genetic,,
31,schools,,
32,insights,,
33,than,,
34,old,,
35,to,,
36,paper,,
37,House,,
38,offering,,
39,announced,,
40,DNA,,
41,scientific,,
42,386,,
43,satellite,,
44,Central,,
45,food,,
46,contemporaries’,,
47,family,,
48,when,,
49,environment,,
50,This,,
51,Furthermore,,
52,doctors,,
53,in,,
54,is,,
55,obvious—and,,
56,exactly,,
57,it,,
58,phone”,,
59,preoccupation,,
60,vision,,
61,at,,
62,are,,
63,what,,
64,Space,,
65,for,,
66,make,,
67,on,,
68,of,,
69,members,,
70,space,,
71,system,,
72,Robots,,
73,researchers,,
74,genetics,,
75,live,,
76,matters,,
77,obtained,,
78,included,,
79,remotely,,
80,using,,
81,identify,,
82,management,,
83,existing,,
84,as,,
85,and,,
86,use,,
87,methods,,
88,kindergarteners,,
89,spacecraft,,
90,analysis,,
91,policy,,
92,especially,,
93,study,,
94,potential,,
95,decisions,,
96,fascinated,,
97,particular,,
98,enough,,
99,grades,,
100,formally,,
101,ourselves,,
102,contact,,
103,how,,
104,thermal,,
105,individuals,,
106,school,,
107,poised,,
108,unique,,
109,Apple’s,,
110,this,,
111,scores,,
112,therapeutic,,
113,nature,,
114,between,,
115,transmission,,
116,will,,
117,by,,
118,intelligence,,
119,an,,
120,can,,
121,glimpse,,
122,with,,
123,virtues,,
124,Perhaps,,
125,the,,
126,selection,,
127,too,,
128,fairly,,
129,behavior,,
130,access,,
131,about,,
132,pasture,,
133,destiny,,
134,alone;,,
135,far,,
136,revolution,,
137,informed,,
138,help,,
139,patient,,
140,reading,,
141,blindingly,,
142,vigorously,,
143,world,,
144,record,,
145,traffic,,
146,“revolutionary,,
147,environmental,,
148,surely,,
149,find,,
150,satellites,,
151,funding,,
152,low,,
153,White,,
154,more,,
155,also,,
156,argument,,
157,from,,
