,sentences,understand?(Y/N),understand before experiment?(Y/N)
0,"This is one industry where it seems the integration of robots will lead to collaboration, not replacement",,
1,A teacher could not seriously tell a parent their child has a low genetic tendency to study when external factors clearly exist,,
2,"As smartphones have multiplied, so have questions about their impact on how we live and how we work",,
3,"So here’s another way in which smartphones might transform the way we live and work: by offering insights into human psychology and behavior and, thus, supporting smarter social science",,
4,"Telepresence robots such as MantaroBot, Vgo, and Giraff can be controlled through a computer, smartphone, or tablet, allowing family members or doctors to remotely monitor patients or Skype them, often via a screen where the robot’s ‘face’ would be",,
5,"So if you want to compliment someone on the work they have done and imitate it, just make sure you do it the right way to avoid committing plagiarism",,
6,If hereditarians want to advance their cause it will require more balanced interpretation and not just acts of advocacy,,
7,"Copying someone's thoughts, ideas or inventions is completely unacceptable",,
8,Japan is ahead of the curve when it comes to this trend,,
9,It includes accounting for any piece of debris they plan to release over 5mm that might stay in orbit for 25 years or more,,
10,Who is a true copycat and who gets copycatted,,
11,"If we allow this kind of labeling to continue, we will all lose",,
12,"It is also critical for socially charged neuroscience issues such as the genetic basis for a particular behavior, the therapeutic potential of stem cell therapy for neurodegenerative diseases, or the use of animal models, areas where the public understanding of science can also influence policy and funding decisions",,
13,This preoccupation inevitably leads to an old debate: whether nature or nurture moulds us more,,
