,words,understand?(Y/N),understand before experiment?(Y/N)
0,there,,
1,are,,
2,technology,,
3,by,,
4,leads,,
5,so,,
6,positive,,
7,4000,,
8,and,,
9,This,,
10,question,,
11,absence,,
12,However,,
13,world,,
14,academic,,
15,in,,
16,neurodegenerative,,
17,research,,
18,Silicon,,
19,environmental,,
20,fascinated,,
21,lies,,
22,therapeutic,,
23,particular,,
24,can,,
25,even,,
26,someone's,,
27,character,,
28,throughout,,
29,or,,
30,thoughts,,
31,clinical,,
32,patients,,
33,Arts,,
34,Sciences,,
35,remotely,,
36,with,,
37,across,,
38,an,,
39,hereditary,,
40,researchers,,
41,as,,
42,relationships,,
43,labels,,
44,a,,
45,inevitably,,
46,towards,,
47,cell,,
48,diseases,,
49,no,,
50,Increasingly,,
51,companies,,
52,Project,,
53,workers,,
54,of,,
55,about,,
56,skills,,
57,Humans,,
58,agricultural,,
59,preoccupation,,
60,that,,
61,trial,,
62,taking,,
63,replacing,,
64,the,,
65,therapy,,
66,behavior,,
67,potential,,
68,is,,
69,directly,,
70,harm,,
71,for,,
72,argument,,
73,kilometers,,
74,encourage,,
75,peer,,
76,evidence,,
77,Skype,,
78,whose,,
79,scientific,,
80,ideas,,
81,Agencies,,
82,socio-emotional,,
83,attention,,
84,monitor,,
85,square,,
86,eye,,
87,claims,,
88,doing,,
89,Copying,,
90,serve,,
91,known,,
92,to,,
93,extending,,
94,it,,
95,multi-site,,
96,failure,,
97,our,,
98,Yet,,
