,words,understand?(Y/N),understand before experiment?(Y/N)
0,first,,
1,there,,
2,“revolutionary,,
3,are,,
4,way,,
5,leads,,
6,public,,
7,Jobs,,
8,interests,,
9,and,,
10,This,,
11,deficit,,
12,analyzing,,
13,academic,,
14,death,,
15,in,,
16,neurodegenerative,,
17,meet,,
18,research,,
19,therapeutic,,
20,complex,,
21,formally,,
22,lessons,,
23,subconsciously,,
24,particular,,
25,someone's,,
26,fundamental,,
27,their,,
28,or,,
29,it's,,
30,with,,
31,an,,
32,Apple’s,,
33,announced,,
34,comfortable,,
35,fears,,
36,recent,,
37,a,,
38,inevitably,,
39,understanding,,
40,just,,
41,few,,
42,this,,
43,The,,
44,cell,,
45,governments,,
46,diseases,,
47,supposition,,
48,where,,
49,companies,,
50,A,,
51,of,,
52,about,,
53,offer,,
54,mobile,,
55,skills,,
56,Sukkarieh,,
57,children’s,,
58,preoccupation,,
59,science,,
60,that,,
61,transmission,,
62,trial,,
63,two,,
64,hyperactivity,,
65,be,,
66,Are,,
67,misconceptions,,
68,the,,
69,therapy,,
70,concerned,,
71,two-year,,
72,Repeating,,
73,behavior,,
74,potential,,
75,disorder,,
76,advertisements,,
77,cars,,
78,smartphones,,
79,recorded,,
80,for,,
81,isn't,,
82,disturbing,,
83,says,,
84,launching,,
85,copy,,
86,from,,
87,showing,,
88,autonomy,,
89,discussion:,,
90,animals,,
91,scientific,,
92,breakdown,,
93,socio-emotional,,
94,attention,,
95,seems,,
96,free,,
97,consumer,,
98,was,,
99,seem,,
100,gestures,,
101,(ADHD),,
102,currently,,
103,to,,
104,roam,,
105,people,,
106,correct,,
107,involving,,
108,under,,
109,mass-produced,,
110,marketed,,
111,everyone,,
