,words,understand?(Y/N),understand before experiment?(Y/N)
0,worst,,
1,glimpse,,
2,enjoy,,
3,benefit,,
4,that,,
5,Mitigation,,
6,greatly,,
7,Standard,,
8,communication,,
9,careers,,
10,a,,
11,and,,
12,brings,,
13,obscured,,
14,obviously,,
15,the,,
16,question,,
17,But,,
18,when,,
19,exist,,
20,there's,,
21,academic,,
22,It,,
23,factors,,
24,children’s,,
25,Debris,,
26,reading,,
27,Government,,
28,at,,
29,is,,
30,Practices,,
31,external,,
32,integral,,
33,Lower,,
34,of,,
35,learning,,
36,it,,
37,about,,
38,character,,
39,clearly,,
40,Orbital,,
41,achievement,,
42,part,,
43,their,,
44,or,,
45,everyone,,
46,our,,
47,will,,
