,words,understand?(Y/N),understand before experiment?(Y/N)
0,almost,,
1,as,,
2,or,,
3,vigorously,,
4,which,,
5,already,,
6,the,,
7,appear,,
8,One,,
9,sure,,
10,livestock,,
11,teddy,,
12,behavior,,
13,percent,,
14,they,,
15,their,,
16,companies,,
17,that,,
18,health,,
19,apps,,
20,is,,
21,journalism,,
22,research,,
23,spacecraft,,
24,know,,
25,jams,,
26,celebrities,,
27,on,,
28,What,,
29,we,,
30,found,,
31,in,,
32,make,,
33,are,,
34,Repeating,,
35,like,,
36,from,,
37,no,,
38,each,,
39,miraculously,,
40,lyrics,,
41,39,,
42,huge,,
43,analyze,,
44,genes,,
45,trial,,
46,Nowadays,,
47,not,,
48,policy,,
49,destiny,,
50,a,,
51,Wales,,
52,Science,,
53,starting,,
54,steal,,
55,determining,,
56,bear,,
57,of,,
58,success,,
59,academic,,
60,where,,
61,looks,,
62,one,,
63,be,,
64,report,,
65,do,,
66,to,,
67,produce,,
68,two-year,,
69,and,,
70,roads,,
71,often,,
72,For,,
73,life,,
74,all,,
75,surely,,
76,meet,,
77,will,,
78,choked,,
79,hope;,,
80,interests,,
81,someone's,,
82,ahead,,
