,sentences,understand?(Y/N),understand before experiment?(Y/N)
0,"One prime example is one of Australia's most isolated cattle stations, Suplejack Downs in the Northern Territory, extending across 4,000 square kilometers, taking over 13 hours to reach by car from the nearest major town Alice Springs",,
1,"Among celebrities, it's trendy nowadays to use their own speech writers as politicians do",,
2,"Copying someone's thoughts, ideas or inventions is completely unacceptable",,
3,Knowledge becomes power and power requires a sense of responsibility,,
4,"Experts have said that it suggests a ""catastrophic failure"" of technology",,
5,Writing is not an easy craft to master,,
6,Yet sophisticated statistics are used to create an intimidatory atmosphere of scientific certainty,,
7,"For all the fuss made about top speeds, cornering ability and acceleration, the most useful gadgets on a modern car are those which work when you're going very slowly: parking sensors, sound systems, and navigation apps which will show a way around upcoming traffic jams",,
8,"Space, especially the space directly around our planet, is getting more crowded as more governments and companies launch satellites",,
9,"However, robots are coming to the rescue",,
10,"Last week, one operated by the taxi company Uber struck and killed a woman pushing her bicycle across a wide road in Arizona",,
11,Something as complex as intellect is likely to be affected by many factors beyond genes,,
12,The robots are not limited to herding and monitoring livestock,,
13,Many robots are equipped with high-tech sensors and complex learning algorithms to avoid injuring humans as they work side by side,,
14,It includes accounting for any piece of debris they plan to release over 5mm that might stay in orbit for 25 years or more,,
15,But why do we act like this,,
16,This will need a more skeptical eye on the science,,
17,"As smartphones have multiplied, so have questions about their impact on how we live and how we work",,
18,Agencies and companies throughout the world are working on developing technology that would dispose of or capture space debris before it causes serious damage,,
19,This type of robot will likely be one of the first to be implemented in hospitals because it has fairly minimal patient contact,,
20,"Although these may not seem like large effects, the impact of early attention problems continued throughout the children’s academic careers",,
21,"The robots have provided major benefits to farmers in various ways, from hunting and pulling weeds to monitoring the condition of every single fruit",,
22,The problem comes when everyone is using a navigation app which tells them to avoid everyone else using the same gadget,,
23,""" The correct interpretation of this statement is not about copying, but rather about creating your own style",,
24,"Yet the paper does say children are ""unintentionally genetically selected"" by the school system",,
25,"“We’re learning that student success requires a more comprehensive approach, one that incorporates not only academic skills but also social, self-regulatory and attention skills,” Dodge said",,
26,The impact of a basic discovery on human health can be exaggerated so that the public thinks a miraculous cure is a few months to years away when in reality the significance of the study is far more limited,,
27,"When a lucky few have access to the knowledge, they will benefit greatly",,
28,"With so much stuff in space, and a limited area around our planet, the government wants to reduce the chances of a collision",,
29,"When you study an author's writing style, don't stop on a single one, but explore numerous styles instead",,
30,It seems to offer autonomy for everyone,,
31,"Often the advantages of convenient, mobile technology are both obvious and taken for granted, leaving more subtle topics for concerned discussion: Are smartphones disturbing children’s sleep",,
32,"Still, many things we do are about copying others one way or another",,
33,This is problematic on: many levels,,
34,"Central control and collective organization can produce smoother and fairer outcomes, though even that much is never guaranteed",,
35,This new congestion teaches us two things,,
36,Science journalism is the main channel for the popularization of scientific information among the public,,
37,"With such an assertion, the work was predictably greeted by a lot of absurd claims about ""genetics determining academic success""",,
38,This policy sets the stage for the Department of Commerce to take over the management of traffic in space,,
39,"Of course, some worry lies in replacing agricultural workers",,
