,words,understand?(Y/N),understand before experiment?(Y/N)
0,are,,
1,growing,,
2,by,,
3,public,,
4,performance,,
5,likely,,
6,and,,
7,charged,,
8,obviously,,
9,This,,
10,absence,,
11,mirror,,
12,doesn’t,,
13,creating,,
14,analyzing,,
15,academic,,
16,in,,
17,critical,,
18,DNA,,
19,improve,,
20,your,,
21,miraculously,,
22,personalized,,
23,at,,
24,deal,,
25,therapeutic,,
26,complex,,
27,more,,
28,thoughtful,,
29,particular,,
30,tendency,,
31,even,,
32,regulation,,
33,You've,,
34,human,,
35,their,,
36,or,,
37,produce,,
38,with,,
39,social,,
40,hereditary,,
41,medicine,,
42,failings,,
43,as,,
44,labels,,
45,comfortable,,
46,a,,
47,understanding,,
48,differences,,
49,back,,
50,jam,,
51,neuroscience,,
52,wrong,,
53,alone;,,
54,It,,
55,intellectual,,
56,between,,
57,The,,
58,continuous,,
59,governments,,
60,either,,
61,contact,,
62,strongly,,
63,hazards,,
64,where,,
65,self-regulatory,,
66,navigates,,
67,of,,
68,fields,,
69,traffic,,
70,about,,
71,problems,,
72,different,,
73,virtues,,
74,skills,,
75,robot,,
76,socially,,
77,own,,
78,necessary,,
79,worst,,
80,species,,
81,on,,
82,itself,,
83,science,,
84,not,,
85,side,,
86,another,,
87,ensure,,
88,be,,
89,scientifically,,
90,pose,,
91,the,,
92,solve,,
93,temperature,,
94,astronomically,,
95,source,,
96,low,,
97,robots,,
98,safely,,
99,behavior,,
100,have,,
101,do,,
102,child,,
103,potential,,
104,want,,
105,equipped,,
106,but,,
107,is,,
108,if,,
109,So,,
110,greater,,
111,for,,
112,around,,
113,At,,
114,also,,
115,advent,,
116,environment,,
117,genetic,,
118,experience,,
119,glimpse,,
120,others,,
121,scientific,,
122,reason,,
123,changes,,
124,graze,,
125,you,,
126,them,,
127,ahead,,
128,claims,,
129,body,,
130,huge,,
131,property,,
132,engage,,
133,children,,
134,known,,
135,to,,
136,rights,,
137,rather,,
138,matters,,
139,it,,
140,unsound,,
141,crowded,,
142,has,,
143,traits,,
144,will,,
