,word,understand now?,understand before experiment?
0,history,,
1,has,,
2,in,,
3,specific,,
4,calculation,,
5,by,,
6,Giraff,,
7,such,,
8,Human-Interactive,,
9,individual,,
10,more,,
11,large,,
12,energy,,
13,Research,,
14,unfilled,,
15,companion,,
16,complex,,
17,situations,,
18,and,,
19,with,,
20,Such,,
21,features,,
22,quantum,,
23,Robots,,
24,attitudes,,
25,for,,
26,what’s,,
27,measured,,
28,propositional,,
29,Robot,,
30,If,,
31,Vgo,,
32,Interactive,,
33,are,,
34,unit,,
35,solution,,
36,Smartphones,,
37,multiplied,,
38,mechanical,,
39,Assistance),,
40,the,,
41,to,,
42,suitably,,
43,as,,
44,single,,
45,coextensive,,
46,During,,
47,can,,
48,decided,,
49,human,,
50,million,,
51,its,,
52,nursing,,
53,mean,,
54,studied,,
55,cameras,,
56,“temperature”,,
57,navigated,,
58,is,,
59,new,,
60,studies,,
61,molecular,,
62,an,,
63,smartphones,,
64,of,,
65,one,,
66,month-long,,
67,kinetic,,
68,offer,,
69,real-world,,
70,a,,
71,hospitals,,
72,(Robot,,
73,interactions,,
74,over,,
75,As,,
76,Body,,
77,people,,
78,example),,
79,have,,
80,be,,
81,it,,
82,temperature,,
83,implemented,,
