exp_id,page_id,time,fixation
506,1078,0,"[[869.8888888888889, 121.0, 263, 11137, 11400], [336.14285714285717, 121.0, 200, 11901, 12101], [463.95454545454544, 121.0, 704, 12366, 13070], [532.8260869565217, 121.0, 709, 13130, 13839], [595.4285714285714, 121.0, 434, 13866, 14300], [681.2, 121.0, 435, 14336, 14771], [815.8888888888889, 121.0, 568, 14997, 15565], [949.8928571428571, 121.0, 857, 15659, 16516], [1018.125, 121.0, 216, 16633, 16849], [1080.5714285714287, 121.0, 217, 16884, 17101], [1077.111111111111, 121.0, 559, 17132, 17691], [1171.75, 121.0, 207, 17742, 17949]]"
506,1078,1,"[[1209.9375, 121.0, 468, 17980, 18448], [1294.0, 121.0, 228, 18486, 18714], [1369.0, 121.0, 226, 18746, 18972], [1439.6923076923076, 121.0, 400, 19000, 19400], [1532.857142857143, 121.0, 211, 19437, 19648], [1588.375, 121.0, 241, 19674, 19915], [1698.111111111111, 121.0, 248, 19984, 20232], [333.375, 173.0, 203, 20796, 20999], [437.09090909090907, 173.0, 311, 21039, 21350], [505.875, 173.0, 468, 21380, 21848], [546.75, 173.0, 721, 21879, 22600], [629.8571428571429, 173.0, 205, 22634, 22839], [761.6, 173.0, 317, 23047, 23364], [736.5714285714286, 173.0, 209, 23391, 23600], [823.65, 173.0, 578, 23631, 24209], [935.8888888888889, 173.0, 254, 24332, 24586], [987.75, 173.0, 249, 24614, 24863], [1063.5, 173.0, 488, 24893, 25381], [1337.9411764705883, 173.0, 510, 25682, 26192]]"
506,1078,2,"[[1671.4545454545455, 173.0, 337, 26550, 26887], [457.73333333333335, 225.0, 422, 27981, 28403], [714.0, 225.0, 276, 28834, 29110], [767.0, 225.0, 623, 29141, 29764], [850.0, 225.0, 599, 29805, 30404], [973.3571428571429, 225.0, 431, 30498, 30929], [992.4736842105264, 225.0, 574, 30963, 31537], [1062.6363636363637, 225.0, 318, 31570, 31888], [1118.875, 225.0, 496, 31921, 32417], [1189.375, 225.0, 231, 32455, 32686], [1292.142857142857, 225.0, 431, 32716, 33147], [1342.8, 225.0, 286, 33180, 33466], [1465.4615384615386, 225.0, 404, 33647, 34051]]"
506,1078,3,"[[1628.4285714285713, 225.0, 207, 34217, 34424], [1656.5833333333333, 225.0, 362, 34462, 34824], [539.4285714285714, 277.0, 202, 35931, 36133], [622.75, 277.0, 340, 36165, 36505], [668.0909090909091, 277.0, 336, 36536, 36872], [831.952380952381, 277.0, 613, 36954, 37567], [962.45, 277.0, 616, 37752, 38368], [1020.125, 277.0, 217, 38404, 38621], [1083.3333333333333, 277.0, 274, 38649, 38923], [1150.875, 277.0, 243, 38954, 39197], [1203.8181818181818, 277.0, 331, 39238, 39569], [1355.1333333333334, 277.0, 431, 39752, 40183], [1407.4, 277.0, 476, 40221, 40697], [1504.5714285714287, 277.0, 205, 40755, 40960], [1540.3636363636363, 277.0, 320, 40988, 41308], [1474.875, 277.0, 209, 41339, 41548], [1693.6666666666667, 277.0, 356, 41760, 42116]]"
506,1078,4,"[[1739.2222222222222, 277.0, 270, 42152, 42422], [1712.5, 277.0, 221, 42458, 42679], [431.375, 329.0, 245, 43670, 43915], [474.1666666666667, 329.0, 543, 43949, 44492], [606.7692307692307, 329.0, 396, 44601, 44997], [735.75, 329.0, 229, 45223, 45452], [784.4583333333334, 329.0, 714, 45485, 46199], [842.5294117647059, 329.0, 518, 46234, 46752], [905.8823529411765, 329.0, 533, 46790, 47323], [995.3125, 329.0, 497, 47349, 47846], [1054.0833333333333, 329.0, 341, 47879, 48220], [1115.0714285714287, 329.0, 423, 48265, 48688], [1198.7826086956522, 329.0, 702, 48713, 49415], [1300.0, 329.0, 203, 49517, 49720], [1364.5833333333333, 329.0, 360, 49753, 50113], [1430.2857142857142, 329.0, 200, 50147, 50347]]"
506,1078,5,"[[1430.2857142857142, 329.0, 200, 50147, 50347], [1512.8333333333333, 329.0, 550, 50390, 50940], [1557.375, 329.0, 244, 50973, 51217], [1619.4117647058824, 329.0, 514, 51245, 51759], [1762.875, 329.0, 222, 51844, 52066], [466.09090909090907, 381.0, 298, 53266, 53564], [538.0666666666667, 381.0, 462, 53603, 54065], [545.3, 381.0, 303, 54101, 54404], [624.6428571428571, 381.0, 435, 54436, 54871], [598.1304347826087, 381.0, 738, 54897, 55635], [683.6, 381.0, 305, 55663, 55968], [761.1333333333333, 381.0, 428, 56020, 56448], [796.3636363636364, 381.0, 305, 56477, 56782], [954.0, 381.0, 228, 56956, 57184], [1031.35, 381.0, 606, 57214, 57820], [1088.5555555555557, 381.0, 267, 57847, 58114]]"
506,1078,6,"[[1309.7142857142858, 381.0, 203, 58347, 58550], [1155.0, 381.0, 289, 58717, 59006], [1452.5, 381.0, 296, 59471, 59767], [1602.25, 381.0, 213, 60003, 60216], [1704.125, 381.0, 230, 60336, 60566], [381.6666666666667, 433.0, 425, 61605, 62030], [582.0, 433.0, 214, 62288, 62502], [660.9, 433.0, 307, 62530, 62837], [723.1764705882352, 433.0, 507, 62869, 63376], [786.2727272727273, 433.0, 313, 63405, 63718], [878.1176470588235, 433.0, 551, 63750, 64301], [952.0, 433.0, 675, 64338, 65013], [1125.6666666666667, 433.0, 229, 65219, 65448], [1082.4545454545455, 433.0, 322, 65481, 65803], [1172.5, 433.0, 246, 65838, 66084]]"
506,1078,7,"[[1244.4545454545455, 433.0, 325, 66123, 66448], [1331.05, 433.0, 632, 66482, 67114], [1380.6, 433.0, 457, 67148, 67605], [1505.8, 433.0, 308, 67663, 67971], [1715.875, 433.0, 238, 68233, 68471], [416.85714285714283, 485.0, 203, 69075, 69278], [413.5, 485.0, 369, 69695, 70064], [641.2272727272727, 485.0, 690, 70362, 71052], [841.5714285714286, 485.0, 204, 71333, 71537], [892.0833333333334, 485.0, 349, 71564, 71913], [964.3076923076923, 485.0, 388, 71951, 72339], [1019.3846153846154, 485.0, 380, 72368, 72748], [1074.125, 485.0, 212, 72787, 72999], [1139.4615384615386, 485.0, 385, 73030, 73415], [1206.625, 485.0, 214, 73451, 73665], [1242.9411764705883, 485.0, 488, 73694, 74182]]"
506,1078,8,"[[1326.25, 485.0, 641, 74214, 74855], [1413.0740740740741, 485.0, 834, 74888, 75722], [1458.4285714285713, 485.0, 201, 75748, 75949], [1692.0833333333333, 485.0, 344, 76203, 76547], [364.2, 537.0, 289, 77043, 77332], [459.6, 537.0, 293, 77408, 77701], [489.77777777777777, 537.0, 224, 77730, 77954], [540.2, 537.0, 274, 77998, 78272], [683.875, 537.0, 213, 78533, 78746], [735.35, 537.0, 617, 78797, 79414], [803.6666666666666, 537.0, 237, 79442, 79679], [834.3333333333334, 537.0, 333, 79716, 80049], [866.3, 537.0, 269, 80084, 80353], [899.8181818181819, 537.0, 337, 80383, 80720], [971.4166666666666, 537.0, 367, 80751, 81118], [1028.448275862069, 537.0, 938, 81146, 82084], [1148.5714285714287, 537.0, 212, 82202, 82414]]"
506,1078,9,"[[1204.5238095238096, 537.0, 658, 82446, 83104], [1307.0, 537.0, 286, 83131, 83417], [1365.7777777777778, 537.0, 241, 83457, 83698], [1730.2857142857142, 537.0, 200, 84273, 84473], [605.2857142857143, 589.0, 410, 85566, 85976], [689.7777777777778, 589.0, 263, 86033, 86296], [799.0, 589.0, 302, 86469, 86771], [875.4285714285714, 589.0, 207, 86889, 87096], [942.1111111111111, 589.0, 243, 87134, 87377], [1016.0, 589.0, 216, 87406, 87622], [1185.642857142857, 589.0, 411, 87750, 88161], [1264.875, 589.0, 240, 88215, 88455]]"
506,1078,10,"[[565.695652173913, 641.0, 735, 89865, 90600], [675.0, 641.0, 402, 90784, 91186], [717.0, 641.0, 252, 91211, 91463], [895.625, 641.0, 214, 91700, 91914], [917.7777777777778, 641.0, 241, 91940, 92181], [1006.5, 641.0, 212, 92221, 92433], [1057.2727272727273, 641.0, 322, 92475, 92797], [1254.0, 641.0, 619, 92985, 93604], [1310.0, 641.0, 300, 93631, 93931], [1377.5454545454545, 641.0, 319, 93968, 94287], [1437.625, 641.0, 223, 94319, 94542], [1525.8666666666666, 641.0, 434, 94571, 95005], [663.875, 693.0, 221, 96947, 97168], [819.5555555555555, 693.0, 270, 97349, 97619]]"
506,1078,11,"[[574.375, 693.0, 222, 99104, 99326], [694.6, 693.0, 449, 99482, 99931], [747.4285714285714, 693.0, 201, 99966, 100167], [883.25, 693.0, 360, 100271, 100631], [1196.0, 693.0, 364, 101266, 101630], [1488.5714285714287, 693.0, 223, 102164, 102387], [1521.5625, 693.0, 498, 102420, 102918], [1572.2857142857142, 693.0, 222, 102948, 103170], [1697.8461538461538, 693.0, 371, 103251, 103622], [400.96, 745.0, 757, 104223, 104980], [609.7142857142857, 745.0, 201, 105347, 105548], [845.6666666666666, 745.0, 259, 105839, 106098]]"
506,1078,12,"[[976.625, 745.0, 214, 106416, 106630], [968.0909090909091, 745.0, 341, 106700, 107041], [1268.125, 745.0, 226, 107404, 107630], [1318.857142857143, 745.0, 400, 107670, 108070], [1379.4375, 745.0, 461, 108106, 108567], [1505.5625, 745.0, 501, 108631, 109132], [1551.375, 745.0, 213, 109170, 109383], [1620.4545454545455, 745.0, 323, 109421, 109744], [1712.1875, 745.0, 451, 109769, 110220], [699.4615384615385, 797.0, 364, 111804, 112168], [730.25, 797.0, 225, 112224, 112449], [785.5, 797.0, 210, 112480, 112690], [854.8, 797.0, 301, 112722, 113023], [908.8461538461538, 797.0, 362, 113054, 113416]]"
